A,p,t,R_train_A_p,R_validation_A_p
7,0.1,0.34,1.0,0.15
36,0.1,0.12,0.97,0.38
37,0.1,0.16,0.99,0.38
1,0.2,4.06,1.0,0.2
4,0.2,0.09,1.0,0.12
35,0.3,0.33,0.78,0.49
0,0.4,5.34,1.0,0.42
2,0.5,0.4,1.0,0.16
3,0.8,0.63,1.0,0.19
34,1.0,2.56,0.73,0.52
37,1.0,1.08,0.73,0.52
0,1.0,16.18,1.0,0.44
1,1.0,19.26,1.0,0.49
2,1.0,19.88,1.0,0.19
3,1.0,0.77,1.0,0.19
4,1.0,0.44,1.0,0.19
5,1.0,12.38,1.0,0.44
6,1.0,32.49,1.0,0.49
8,1.0,0.99,1.0,0.19
9,1.0,0.94,1.0,0.19
10,1.0,78.96,1.0,0.32
11,1.0,103.82,1.0,0.43
12,1.0,58.82,1.0,0.48
13,1.0,119.49,1.0,0.55
14,1.0,101.46,1.0,0.58
15,1.0,103.64,1.0,0.32
16,1.0,57.22,0.99,0.42
17,1.0,222.76,0.96,0.48
18,1.0,214.05,0.93,0.55
19,1.0,21.34,None,None
