A,p,t,R_train_A_p,R_validation_A_p
25,1.0,91.84,1.0,0.51
28,0.3,13.51,1.0,0.38
23,0.2,5.58,1.0,0.35
2,0.3,0.25,1.0,0.17
31,0.4,0.78,0.65,0.48
16,0.7,30.84,0.99,0.41
19,0.7,41.82,0.89,0.55
32,0.7,1.67,0.74,0.5
36,0.6,0.53,0.77,0.51
34,1.0,2.56,0.73,0.52
26,1.0,29.91,1.0,0.51
14,0.6,51.43,1.0,0.56
1,0.5,8.93,1.0,0.46
38,0.3,0.47,0.85,0.48
20,0.9,27.02,1.0,0.45
36,1.0,0.86,0.72,0.52
6,0.4,10.86,1.0,0.37
36,0.5,0.44,0.78,0.49
18,0.2,19.25,0.92,0.47
4,0.8,0.37,1.0,0.19
30,0.2,0.2,0.23,0.06
22,0.2,5.79,1.0,0.34
26,0.3,7.21,1.0,0.39
1,0.5,8.93,1.0,0.46
27,0.7,37.85,1.0,0.43
7,0.1,0.34,1.0,0.15
38,1.0,1.13,0.73,0.52
2,0.7,12.22,1.0,0.25
37,0.6,0.72,0.78,0.5
35,0.5,0.55,0.71,0.49
32,0.4,0.95,0.78,0.5
2,0.5,0.4,1.0,0.16
0,0.2,2.8,1.0,0.36
6,1.0,32.49,1.0,0.49
34,0.1,0.45,0.99,0.38
12,0.7,33.41,1.0,0.47
18,1.0,214.05,0.93,0.55
16,0.3,8.9,0.98,0.37
2,0.6,10.13,1.0,0.22
20,0.6,11.05,1.0,0.46
8,0.7,0.68,1.0,0.26
24,0.8,24.68,1.0,0.39
33,0.7,2.41,0.76,0.5
38,0.9,1.1,0.74,0.5
6,1.0,32.49,1.0,0.49
32,0.5,1.23,0.77,0.49
27,0.4,19.2,1.0,0.39
19,0.7,41.82,0.89,0.55
16,0.9,47.64,0.99,0.42
19,0.9,67.88,0.89,0.57
21,0.1,3.59,1.0,0.37
26,1.0,29.91,1.0,0.51
20,0.1,2.55,1.0,0.36
24,1.0,40.77,1.0,0.46
37,0.3,0.43,0.85,0.48
3,0.6,0.48,1.0,0.15
29,0.6,29.25,1.0,0.45
22,1.0,35.48,1.0,0.46
17,0.8,89.92,None,None
